scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,3,1655095376
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,4,1655095377
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,5,1655095378
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,6,1655095379
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,7,1655095380
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,8,1655095381
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,9,1655095382
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,10,1655095383
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,1,1655095384
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,2,1655095385
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,3,1655095386
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,4,1655095387
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,5,1655095388
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,6,1655095389
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,7,1655095390
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,8,1655095391
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,9,1655095392
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.05,1,2,FALSE,FALSE,0.01,0.01,10,1655095393
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,1,1655095394
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,2,1655095395
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,3,1655095396
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,4,1655095397
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,5,1655095398
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,6,1655095399
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,7,1655095400
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,8,1655095401
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,9,1655095402
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,10,1655095403
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,1,1655095404
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,2,1655095405
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,3,1655095406
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.025,1,2,FALSE,FALSE,0.01,0.01,4,1655095407
